,0,1,2
312,5126,5120,53.17
313,5125,5120,28.52
314,5124,5120,25.65
315,5123,5120,63.26
316,5122,5120,18.31
317,5121,5120,54.76
318,5120,5120,0.00
319,5013,5120,6.10
320,5014,5120,6.60
321,5015,5120,4.78
322,5016,5120,28.07
323,5017,5120,7.94
324,5018,5120,33.69
325,5019,5120,2.58
326,5020,5120,2.79
327,5306,5120,4.60
328,5305,5120,4.34
329,5304,5120,4.24
330,5303,5120,4.45
331,5302,5120,4.69
332,5301,5120,2.88
333,5012,5120,2.82
334,5011,5120,10.93
335,5010,5120,23.96
336,5009,5120,1.16
337,5008,5120,3.12
338,5007,5120,0.38
339,5006,5120,2.59
340,5005,5120,0.65
341,5004,5120,1.64
342,5003,5120,0.59
343,5002,5120,1.09
344,5001,5120,0.62
345,5119,5120,22.79
346,5118,5120,3.90
347,5117,5120,2.38
348,5116,5120,1.86
349,5115,5120,1.67
350,5114,5120,0.43
351,5113,5120,0.12
352,5112,5120,1.17
353,5111,5120,1.85
354,5110,5120,1.27
355,5109,5120,0.59
356,5108,5120,0.18
357,5107,5120,0.23
358,5106,5120,0.27
359,5105,5120,0.23
360,5104,5120,1.03
361,5103,5120,0.35
362,5102,5120,0.79
363,5101,5120,9.59
364,5126,5013,23.83
365,5125,5013,13.85
366,5124,5013,15.15
367,5123,5013,29.61
368,5122,5013,10.64
369,5121,5013,18.33
370,5120,5013,5.64
371,5013,5013,0.00
372,5014,5013,5.75
373,5015,5013,6.08
374,5016,5013,34.16
375,5017,5013,8.89
376,5018,5013,8.82
377,5019,5013,2.43
378,5020,5013,3.87
379,5306,5013,3.32
380,5305,5013,2.71
381,5304,5013,3.10
382,5303,5013,7.93
383,5302,5013,3.73
384,5301,5013,1.54
385,5012,5013,0.81
386,5011,5013,8.18
387,5010,5013,14.53
388,5009,5013,8.67
389,5008,5013,6.23
390,5007,5013,0.99
391,5006,5013,5.39
392,5005,5013,0.81
393,5004,5013,3.94
394,5003,5013,3.01
395,5002,5013,8.86
396,5001,5013,1.46
397,5119,5013,0.37
398,5118,5013,0.34
399,5117,5013,0.81
