,Line_ID,Trip_ID,Vehicle_ID,Start_stop_ID,Start_stop_name,End_stop_id,End_stop_name,Passenger_load,Unnamed: 8
1051,250,25026,-1,25010,Station_Zuid,25009,Amstelreenseweg,9,
1052,250,25026,-1,25009,Amstelreenseweg,25008,Henk_Sneevlietweg,9,
1053,250,25026,-1,25008,Henk_Sneevlietweg,25007,Heemstedestraat,6,
1054,250,25026,-1,25007,Heemstedestraat,25006,Station_Lelylaan,5,
1055,250,25026,-1,25006,Station_Lelylaan,25005,Postjesweg,3,
1056,250,25026,-1,25005,Postjesweg,25004,Jan_van_Galenstraat,1,
1057,250,25026,-1,25004,Jan_van_Galenstraat,25003,Burg_De_Vlugtlaan,1,
1058,250,25026,-1,25003,Burg_De_Vlugtlaan,25002,Station_Sloterdijk,0,
1059,250,25026,-1,25002,Station_Sloterdijk,25001,Isolatorweg,0,
1060,250,25027,-1,25020,Gein,25019,Reigersbos,0,
1061,250,25027,-1,25019,Reigersbos,25018,Station_Holendrecht,0,
1062,250,25027,-1,25018,Station_Holendrecht,25017,Bullewijk,0,
1063,250,25027,-1,25017,Bullewijk,25016,Station_Bijlmer_ArenA,0,
1064,250,25027,-1,25016,Station_Bijlmer_ArenA,25015,Strandvliet,0,
1065,250,25027,-1,25015,Strandvliet,25014,Station_Duivendrecht,0,
1066,250,25027,-1,25014,Station_Duivendrecht,25013,Van_der_Madeweg,0,
1067,250,25027,-1,25013,Van_der_Madeweg,25012,Overamstel,0,
1068,250,25027,-1,25012,Overamstel,25011,Station_RAI,2,
1069,250,25027,-1,25011,Station_RAI,25010,Station_Zuid,3,
1070,250,25027,-1,25010,Station_Zuid,25009,Amstelreenseweg,3,
1071,250,25027,-1,25009,Amstelreenseweg,25008,Henk_Sneevlietweg,3,
1072,250,25027,-1,25008,Henk_Sneevlietweg,25007,Heemstedestraat,3,
1073,250,25027,-1,25007,Heemstedestraat,25006,Station_Lelylaan,3,
1074,250,25027,-1,25006,Station_Lelylaan,25005,Postjesweg,3,
1075,250,25027,-1,25005,Postjesweg,25004,Jan_van_Galenstraat,3,
1076,250,25027,-1,25004,Jan_van_Galenstraat,25003,Burg_De_Vlugtlaan,2,
1077,250,25027,-1,25003,Burg_De_Vlugtlaan,25002,Station_Sloterdijk,2,
1078,250,25027,-1,25002,Station_Sloterdijk,25001,Isolatorweg,0,
1079,250,25028,-1,25020,Gein,25019,Reigersbos,0,
1080,250,25028,-1,25019,Reigersbos,25018,Station_Holendrecht,0,
1081,250,25028,-1,25018,Station_Holendrecht,25017,Bullewijk,0,
1082,250,25028,-1,25017,Bullewijk,25016,Station_Bijlmer_ArenA,0,
1083,250,25028,-1,25016,Station_Bijlmer_ArenA,25015,Strandvliet,0,
1084,250,25028,-1,25015,Strandvliet,25014,Station_Duivendrecht,0,
1085,250,25028,-1,25014,Station_Duivendrecht,25013,Van_der_Madeweg,0,
1086,250,25028,-1,25013,Van_der_Madeweg,25012,Overamstel,0,
1087,250,25028,-1,25012,Overamstel,25011,Station_RAI,2,
1088,250,25028,-1,25011,Station_RAI,25010,Station_Zuid,2,
1089,250,25028,-1,25010,Station_Zuid,25009,Amstelreenseweg,2,
1090,250,25028,-1,25009,Amstelreenseweg,25008,Henk_Sneevlietweg,2,
1091,250,25028,-1,25008,Henk_Sneevlietweg,25007,Heemstedestraat,2,
1092,250,25028,-1,25007,Heemstedestraat,25006,Station_Lelylaan,2,
1093,250,25028,-1,25006,Station_Lelylaan,25005,Postjesweg,2,
1094,250,25028,-1,25005,Postjesweg,25004,Jan_van_Galenstraat,2,
1095,250,25029,-1,25020,Gein,25019,Reigersbos,0,
1096,250,25029,-1,25019,Reigersbos,25018,Station_Holendrecht,0,
1097,250,25029,-1,25018,Station_Holendrecht,25017,Bullewijk,0,
1098,250,25029,-1,25017,Bullewijk,25016,Station_Bijlmer_ArenA,0,
1099,250,25029,-1,25016,Station_Bijlmer_ArenA,25015,Strandvliet,0,
1100,250,25029,-1,25015,Strandvliet,25014,Station_Duivendrecht,0,
1101,250,25029,-1,25014,Station_Duivendrecht,25013,Van_der_Madeweg,0,
1102,250,25029,-1,25013,Van_der_Madeweg,25012,Overamstel,0,
1103,250,25029,-1,25012,Overamstel,25011,Station_RAI,0,
1104,250,25029,-1,25011,Station_RAI,25010,Station_Zuid,0,
1105,250,25029,-1,25010,Station_Zuid,25009,Amstelreenseweg,0,
1106,250,25029,-1,25009,Amstelreenseweg,25008,Henk_Sneevlietweg,0,
1107,250,25030,-1,25020,Gein,25019,Reigersbos,0,
1108,250,25030,-1,25019,Reigersbos,25018,Station_Holendrecht,0,
1109,250,25030,-1,25018,Station_Holendrecht,25017,Bullewijk,0,
1110,250,25030,-1,25017,Bullewijk,25016,Station_Bijlmer_ArenA,0,
1111,250,25030,-1,25016,Station_Bijlmer_ArenA,25015,Strandvliet,0,
1112,250,25030,-1,25015,Strandvliet,25014,Station_Duivendrecht,0,
1113,250,25030,-1,25014,Station_Duivendrecht,25013,Van_der_Madeweg,0,
1114,250,25030,-1,25013,Van_der_Madeweg,25012,Overamstel,0,
