,",Origin_stop_ID,Origin_stop_name,Destination_stop_ID,Destination_stop_name,Nr_pass_completed,Average_travel_time,Average_number_boardings,Unnamed: 7"
165,"165,5115,Kronenburg,5123,Weesperplein,9,1486.93,1,"
166,"166,5114,Zonnestein,5123,Weesperplein,6,1589.85,1,"
167,"167,5112,Oranjebaan,5123,Weesperplein,5,1792.97,1,"
168,"168,5111,Amstelveen_centrum,5123,Weesperplein,8,1737.84,1,"
169,"169,5110,Ouderkerkerlaan,5123,Weesperplein,12,1894.33,1,"
170,"170,5109,Sportlaan,5123,Weesperplein,9,1944.15,1,"
171,"171,5107,Gondel,5123,Weesperplein,2,2196.35,1,"
172,"172,5105,Brink,5123,Weesperplein,2,2167.54,1,"
173,"173,5104,Poortwachter,5123,Weesperplein,9,2278.2,1,"
174,"174,5103,Spinnerij,5123,Weesperplein,3,2299.36,1,"
175,"175,5102,Sacharovlaan,5123,Weesperplein,6,2351.71,1,"
176,"176,5101,Westwijk,5123,Weesperplein,61,2458.82,1,"
177,"177,5126,Centraal_Station,5122,Wibautstraat,201,463.873,1,"
178,"178,5125,Nieuwmarkt,5122,Wibautstraat,131,399.163,1,"
179,"179,5124,Waterlooplein,5122,Wibautstraat,109,323.601,1,"
180,"180,5123,Weesperplein,5122,Wibautstraat,259,188.283,1,"
181,"181,5121,Amstelstation,5122,Wibautstraat,64,230.417,1,"
182,"182,5120,Spaklerweg,5122,Wibautstraat,27,270.626,1,"
183,"183,5013,Van_der_Madeweg,5122,Wibautstraat,11,478.92,1,"
184,"184,5014,Station_Duivendrecht,5122,Wibautstraat,8,521.323,1,"
185,"185,5015,Strandvliet,5122,Wibautstraat,18,791.258,1.22222,"
186,"186,5016,Station_Bijlmer_ArenA,5122,Wibautstraat,119,781.935,1.34454,"
187,"187,5017,Bullewijk,5122,Wibautstraat,40,822.765,1.25,"
188,"188,5018,Station_Holendrecht,5122,Wibautstraat,64,1014.54,1.35938,"
189,"189,5019,Reigersbos,5122,Wibautstraat,4,1147.43,1.5,"
190,"190,5020,Gein,5122,Wibautstraat,6,1231.87,1.5,"
191,"191,5306,Venserpolder,5122,Wibautstraat,20,645.254,1,"
192,"192,5305,Station_Diemen-Zuid,5122,Wibautstraat,10,859.437,1,"
193,"193,5304,Verrijn_Stuartweg,5122,Wibautstraat,10,856.507,1,"
194,"194,5303,Station_Ganzenhoef,5122,Wibautstraat,18,916.135,1,"
195,"195,5302,Kraaiennest_station,5122,Wibautstraat,9,1078.29,1,"
196,"196,5301,Gaasperplas,5122,Wibautstraat,11,1087.26,1,"
197,"197,5012,Overamstel,5122,Wibautstraat,6,668.706,1,"
198,"198,5011,Station_RAI,5122,Wibautstraat,21,830.684,1,"
199,"199,5010,Station_Zuid,5122,Wibautstraat,38,901.118,1.31579,"
200,"200,5009,Amstelreenseweg,5122,Wibautstraat,4,1343.86,2.25,"
201,"201,5008,Henk_Sneevlietweg,5122,Wibautstraat,22,1384.03,2.04545,"
202,"202,5006,Station_Lelylaan,5122,Wibautstraat,10,1553.25,2.4,"
203,"203,5005,Postjesweg,5122,Wibautstraat,2,1908.63,2.5,"
204,"204,5004,Jan_van_Galenstraat,5122,Wibautstraat,6,1803.1,2,"
205,"205,5002,Station_Sloterdijk,5122,Wibautstraat,6,1907.7,2.33333,"
206,"206,5001,Isolatorweg,5122,Wibautstraat,4,2113.13,2,"
207,"207,5119,De_Boelelaan/VU,5122,Wibautstraat,42,1132.05,1,"
208,"208,5118,A.J._Ernststraat,5122,Wibautstraat,11,1247.19,1,"
209,"209,5117,Van_Boshuizenstraat,5122,Wibautstraat,6,1401.93,1,"
210,"210,5116,Uilenstede,5122,Wibautstraat,3,1334.21,1,"
211,"211,5115,Kronenburg,5122,Wibautstraat,4,1396.83,1,"
212,"212,5112,Oranjebaan,5122,Wibautstraat,1,1609.43,1,"
213,"213,5111,Amstelveen_centrum,5122,Wibautstraat,6,1669.31,1,"
214,"214,5110,Ouderkerkerlaan,5122,Wibautstraat,13,1824.51,1,"
215,"215,5109,Sportlaan,5122,Wibautstraat,5,1862.58,1,"
216,"216,5106,Meent,5122,Wibautstraat,1,2132.93,1,"
217,"217,5105,Brink,5122,Wibautstraat,1,1879.33,1,"
218,"218,5104,Poortwachter,5122,Wibautstraat,1,2138.83,1,"
219,"219,5103,Spinnerij,5122,Wibautstraat,1,2267.24,1,"
220,"220,5102,Sacharovlaan,5122,Wibautstraat,2,2206.31,1,"
221,"221,5101,Westwijk,5122,Wibautstraat,19,2407.85,1,"
222,"222,5126,Centraal_Station,5121,Amstelstation,164,596.624,1,"
223,"223,5125,Nieuwmarkt,5121,Amstelstation,148,533.551,1,"
224,"224,5124,Waterlooplein,5121,Amstelstation,146,454.843,1,"
225,"225,5123,Weesperplein,5121,Amstelstation,437,325.494,1,"
226,"226,5122,Wibautstraat,5121,Amstelstation,72,226.013,1,"
227,"227,5120,Spaklerweg,5121,Amstelstation,110,162.849,1,"
228,"228,5013,Van_der_Madeweg,5121,Amstelstation,63,403.628,1,"
229,"229,5014,Station_Duivendrecht,5121,Amstelstation,24,409.541,1,"
230,"230,5015,Strandvliet,5121,Amstelstation,40,638.191,1.225,"
231,"231,5016,Station_Bijlmer_ArenA,5121,Amstelstation,267,660.256,1.38202,"
232,"232,5017,Bullewijk,5121,Amstelstation,110,720.603,1.30909,"
233,"233,5018,Station_Holendrecht,5121,Amstelstation,236,884.94,1.42797,"
234,"234,5019,Reigersbos,5121,Amstelstation,27,989.203,1.37037,"
235,"235,5020,Gein,5121,Amstelstation,21,1049.7,1,"
236,"236,5306,Venserpolder,5121,Amstelstation,60,580.191,1,"
237,"237,5305,Station_Diemen-Zuid,5121,Amstelstation,43,608.946,1,"
238,"238,5304,Verrijn_Stuartweg,5121,Amstelstation,71,747.973,1,"
239,"239,5303,Station_Ganzenhoef,5121,Amstelstation,39,806.977,1,"
240,"240,5302,Kraaiennest_station,5121,Amstelstation,29,916.703,1,"
241,"241,5301,Gaasperplas,5121,Amstelstation,42,966.351,1,"
242,"242,5012,Overamstel,5121,Amstelstation,27,558.587,1,"
243,"243,5011,Station_RAI,5121,Amstelstation,22,651.341,1,"
244,"244,5010,Station_Zuid,5121,Amstelstation,102,777.203,1.26471,"
245,"245,5009,Amstelreenseweg,5121,Amstelstation,1,920.895,2,"
246,"246,5008,Henk_Sneevlietweg,5121,Amstelstation,17,1296.06,2.23529,"
247,"247,5007,Heemstedestraat,5121,Amstelstation,5,1389.88,2.2,"
248,"248,5006,Station_Lelylaan,5121,Amstelstation,8,1463.95,2.375,"
249,"249,5005,Postjesweg,5121,Amstelstation,1,1332.38,2,"
250,"250,5004,Jan_van_Galenstraat,5121,Amstelstation,3,1599.98,2.66667,"
251,"251,5002,Station_Sloterdijk,5121,Amstelstation,5,1915.22,2,"
252,"252,5001,Isolatorweg,5121,Amstelstation,2,2054.97,2,"
253,"253,5119,De_Boelelaan/VU,5121,Amstelstation,90,998.27,1,"
254,"254,5118,A.J._Ernststraat,5121,Amstelstation,20,1017.62,1,"
255,"255,5117,Van_Boshuizenstraat,5121,Amstelstation,15,1146.44,1,"
256,"256,5116,Uilenstede,5121,Amstelstation,13,1201.55,1,"
257,"257,5115,Kronenburg,5121,Amstelstation,7,1414.03,1,"
258,"258,5114,Zonnestein,5121,Amstelstation,4,1472.49,1,"
259,"259,5113,Onderuit,5121,Amstelstation,3,1355.43,1,"
260,"260,5112,Oranjebaan,5121,Amstelstation,13,1493.94,1,"
